Model,Train Accuracy,Test Accuracy,Precision,Recall,F1-Score,CV Mean Accuracy,CV Std
SVM,0.9906538339166402,0.9891823098950048,0.9892536907680197,0.9891823098950048,0.989186099123717,0.9884505249761375,0.0006351404638140881
k-NN,0.9893215081132676,0.9799554565701559,0.9800818461724208,0.9799554565701559,0.9799706574109056,0.9793986636971047,0.0010671657544542605
Naive Bayes,0.5116131084950684,0.5104199809099587,0.5502982834515339,0.5104199809099587,0.5111471679378475,0.5100699968183264,0.002435903074947014
Random Forest,1.0,0.9863188036907413,0.9863524141310495,0.9863188036907413,0.9863075597221147,0.9849029589564111,0.0008348483463825778
