Model,Accuracy,Precision,Recall,F1-Score
SVM,0.9891823098950048,0.9892536907680197,0.9891823098950048,0.989186099123717
k-NN,0.9799554565701559,0.9800818461724208,0.9799554565701559,0.9799706574109056
Naive Bayes,0.5104199809099587,0.5502982834515339,0.5104199809099587,0.5111471679378475
Random Forest,0.9863188036907413,0.9863524141310495,0.9863188036907413,0.9863075597221147
